Vocab size: 100
Model config: {'vocab_size': 100, 'd_model': 256, 'd_ff': 2048, 'n_head': 8, 'd_kv': 64, 'n_encoder_layers': 4, 'n_decoder_layers': 4, 'dropout': 0.04, 'attn_dropout': 0.0, 'relative_attention_num_buckets': 32, 'relative_attention_max_distance': 128}
Pretrained: embedding mapped 38/100 tokens
Pretrained: loaded encoder (4L) + decoder (4L) weights from /home/saumya/.cache/autoresearch/pretrained/models/pretrain/simple
Total parameters: 14,712,576
Estimated FLOPs per sample: 8.827546e+07
Time budget: 300s

step 00195 (1.3%) | loss: 0.131524 | mae: 35.79 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 296s    
step 00196 (1.3%) | loss: 0.128896 | mae: 33.98 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 296s    
step 00197 (1.3%) | loss: 0.130099 | mae: 31.14 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 296s    
step 00198 (1.4%) | loss: 0.130992 | mae: 26.81 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 296s    
step 00199 (1.4%) | loss: 0.127749 | mae: 31.40 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 296s    
step 00200 (1.4%) | loss: 0.127114 | mae: 34.59 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 296s    
step 00201 (1.4%) | loss: 0.127129 | mae: 28.30 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 296s    
step 00202 (1.4%) | loss: 0.128100 | mae: 36.32 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 296s    
step 00203 (1.4%) | loss: 0.127667 | mae: 30.99 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 296s    
step 00204 (1.4%) | loss: 0.132130 | mae: 31.32 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 296s    
step 00205 (1.4%) | loss: 0.134159 | mae: 29.89 | lrm: 1.00 | dt: 21ms | epoch: 2 | remaining: 296s    
step 00206 (1.4%) | loss: 0.132979 | mae: 28.58 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 296s    
step 00207 (1.4%) | loss: 0.131590 | mae: 37.66 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 296s    
step 00208 (1.4%) | loss: 0.134248 | mae: 26.73 | lrm: 1.00 | dt: 21ms | epoch: 2 | remaining: 296s    
step 00209 (1.4%) | loss: 0.139195 | mae: 35.86 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 296s    
step 00210 (1.4%) | loss: 0.134560 | mae: 26.65 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 296s    
step 00211 (1.4%) | loss: 0.131120 | mae: 31.90 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 296s    
step 00212 (1.5%) | loss: 0.129977 | mae: 32.15 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 296s    
step 00213 (1.5%) | loss: 0.130978 | mae: 29.39 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 296s    
step 00214 (1.5%) | loss: 0.132268 | mae: 29.04 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 296s    
step 00215 (1.5%) | loss: 0.134406 | mae: 23.02 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 296s    
step 00216 (1.5%) | loss: 0.135109 | mae: 29.39 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 296s    
step 00217 (1.5%) | loss: 0.132228 | mae: 28.01 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 296s    
step 00218 (1.5%) | loss: 0.130511 | mae: 28.87 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 295s    
step 00219 (1.5%) | loss: 0.128642 | mae: 27.61 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 295s    
step 00220 (1.5%) | loss: 0.129486 | mae: 24.86 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 295s    
step 00221 (1.5%) | loss: 0.131812 | mae: 22.02 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 295s    
step 00222 (1.5%) | loss: 0.134826 | mae: 27.35 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 295s    
step 00223 (1.5%) | loss: 0.135698 | mae: 32.45 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 295s    
step 00224 (1.5%) | loss: 0.136673 | mae: 35.30 | lrm: 1.00 | dt: 21ms | epoch: 2 | remaining: 295s    
step 00225 (1.5%) | loss: 0.137592 | mae: 34.39 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 295s    
step 00226 (1.6%) | loss: 0.133324 | mae: 35.39 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 295s    
step 00227 (1.6%) | loss: 0.129804 | mae: 29.95 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 295s    
step 00228 (1.6%) | loss: 0.135817 | mae: 30.81 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 295s    
step 00229 (1.6%) | loss: 0.134201 | mae: 34.61 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 295s    
step 00230 (1.6%) | loss: 0.129575 | mae: 35.45 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 295s    
step 00231 (1.6%) | loss: 0.130306 | mae: 34.87 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 295s    
step 00232 (1.6%) | loss: 0.130623 | mae: 34.37 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 295s    
step 00233 (1.6%) | loss: 0.132653 | mae: 34.26 | lrm: 1.00 | dt: 21ms | epoch: 2 | remaining: 295s    
step 00234 (1.6%) | loss: 0.132701 | mae: 30.76 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 295s    
step 00235 (1.6%) | loss: 0.131613 | mae: 34.69 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 295s    
step 00236 (1.6%) | loss: 0.130241 | mae: 33.10 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 295s    
step 00237 (1.6%) | loss: 0.131326 | mae: 23.99 | lrm: 1.00 | dt: 21ms | epoch: 2 | remaining: 295s    
step 00238 (1.6%) | loss: 0.128627 | mae: 29.13 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 295s    
step 00239 (1.6%) | loss: 0.127780 | mae: 38.08 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 295s    
step 00240 (1.7%) | loss: 0.129485 | mae: 32.43 | lrm: 1.00 | dt: 21ms | epoch: 2 | remaining: 295s    
step 00241 (1.7%) | loss: 0.130204 | mae: 23.88 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 295s    
step 00242 (1.7%) | loss: 0.128716 | mae: 25.86 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 295s    
step 00243 (1.7%) | loss: 0.127727 | mae: 28.92 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 295s    
step 00244 (1.7%) | loss: 0.123525 | mae: 29.51 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 295s    
step 00245 (1.7%) | loss: 0.124548 | mae: 33.45 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 295s    
step 00246 (1.7%) | loss: 0.124308 | mae: 28.34 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 295s    
step 00247 (1.7%) | loss: 0.128492 | mae: 35.53 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 295s    
step 00248 (1.7%) | loss: 0.131411 | mae: 29.62 | lrm: 1.00 | dt: 21ms | epoch: 2 | remaining: 295s    
step 00249 (1.7%) | loss: 0.130706 | mae: 30.20 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 295s    
step 00250 (1.7%) | loss: 0.136901 | mae: 32.58 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 295s    
step 00251 (1.7%) | loss: 0.138610 | mae: 28.01 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 295s    
step 00252 (1.7%) | loss: 0.137600 | mae: 31.48 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 295s    
step 00253 (1.7%) | loss: 0.137996 | mae: 29.12 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 295s    
step 00254 (1.8%) | loss: 0.135116 | mae: 35.17 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 295s    
step 00255 (1.8%) | loss: 0.132987 | mae: 33.35 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 295s    
step 00256 (1.8%) | loss: 0.134175 | mae: 25.85 | lrm: 1.00 | dt: 21ms | epoch: 2 | remaining: 295s    
step 00257 (1.8%) | loss: 0.130697 | mae: 34.72 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 295s    
step 00258 (1.8%) | loss: 0.131546 | mae: 34.78 | lrm: 1.00 | dt: 21ms | epoch: 2 | remaining: 295s    
step 00259 (1.8%) | loss: 0.128765 | mae: 31.09 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 295s    
step 00260 (1.8%) | loss: 0.127220 | mae: 27.12 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 295s    
step 00261 (1.8%) | loss: 0.123816 | mae: 29.80 | lrm: 1.00 | dt: 21ms | epoch: 2 | remaining: 295s    
step 00262 (1.8%) | loss: 0.121516 | mae: 30.40 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 295s    
step 00263 (1.8%) | loss: 0.123417 | mae: 31.94 | lrm: 1.00 | dt: 21ms | epoch: 2 | remaining: 295s    
step 00264 (1.8%) | loss: 0.124319 | mae: 22.62 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 294s    
step 00265 (1.8%) | loss: 0.121261 | mae: 25.67 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 294s    
step 00266 (1.8%) | loss: 0.123485 | mae: 25.54 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 294s    
step 00267 (1.8%) | loss: 0.122345 | mae: 28.48 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 294s    
step 00268 (1.9%) | loss: 0.120597 | mae: 33.92 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 294s    
step 00269 (1.9%) | loss: 0.122773 | mae: 41.09 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 294s    
step 00270 (1.9%) | loss: 0.120974 | mae: 29.90 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 294s    
step 00271 (1.9%) | loss: 0.117323 | mae: 38.27 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 294s    
step 00272 (1.9%) | loss: 0.116404 | mae: 25.51 | lrm: 1.00 | dt: 21ms | epoch: 2 | remaining: 294s    
step 00273 (1.9%) | loss: 0.116009 | mae: 32.65 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 294s    
step 00274 (1.9%) | loss: 0.118634 | mae: 35.07 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 294s    
step 00275 (1.9%) | loss: 0.117748 | mae: 37.08 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 294s    
step 00276 (1.9%) | loss: 0.119683 | mae: 26.34 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 294s    
step 00277 (1.9%) | loss: 0.117527 | mae: 33.69 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 294s    
step 00278 (1.9%) | loss: 0.118150 | mae: 33.82 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 294s    
step 00279 (1.9%) | loss: 0.119295 | mae: 30.92 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 294s    
step 00280 (1.9%) | loss: 0.120255 | mae: 33.52 | lrm: 1.00 | dt: 21ms | epoch: 2 | remaining: 294s    
step 00281 (2.0%) | loss: 0.123618 | mae: 27.05 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 294s    
step 00282 (2.0%) | loss: 0.126752 | mae: 27.06 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 294s    
step 00283 (2.0%) | loss: 0.131970 | mae: 33.04 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 294s    
step 00284 (2.0%) | loss: 0.134683 | mae: 30.66 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 294s    
step 00285 (2.0%) | loss: 0.132936 | mae: 34.49 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 294s    
step 00286 (2.0%) | loss: 0.132208 | mae: 27.70 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 294s    
step 00287 (2.0%) | loss: 0.129759 | mae: 29.70 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 294s    
step 00288 (2.0%) | loss: 0.129906 | mae: 26.44 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 294s    
step 00289 (2.0%) | loss: 0.127839 | mae: 30.81 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 294s    
step 00290 (2.0%) | loss: 0.126859 | mae: 26.36 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 294s    
step 00291 (2.0%) | loss: 0.123882 | mae: 28.31 | lrm: 1.00 | dt: 21ms | epoch: 2 | remaining: 294s    
step 00292 (2.0%) | loss: 0.122612 | mae: 28.53 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 294s    
step 00293 (2.0%) | loss: 0.122606 | mae: 30.97 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 294s    
step 00294 (2.0%) | loss: 0.126720 | mae: 29.29 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 294s    
step 00295 (2.1%) | loss: 0.129937 | mae: 31.21 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 294s    
step 00296 (2.1%) | loss: 0.128832 | mae: 31.37 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 294s    
step 00297 (2.1%) | loss: 0.126144 | mae: 32.19 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 294s    
step 00298 (2.1%) | loss: 0.125622 | mae: 31.78 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 294s    
step 00299 (2.1%) | loss: 0.128255 | mae: 27.95 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 294s    
step 00300 (2.1%) | loss: 0.126222 | mae: 32.88 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 294s    
step 00301 (2.1%) | loss: 0.125294 | mae: 31.77 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 294s    
step 00302 (2.1%) | loss: 0.125276 | mae: 25.95 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 294s    
step 00303 (2.1%) | loss: 0.124616 | mae: 28.74 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 294s    
step 00304 (2.1%) | loss: 0.124582 | mae: 22.73 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 294s    
step 00305 (2.1%) | loss: 0.124127 | mae: 26.34 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 294s    
step 00306 (2.1%) | loss: 0.120122 | mae: 29.59 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 294s    
step 00307 (2.1%) | loss: 0.123052 | mae: 32.50 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 294s    
step 00308 (2.1%) | loss: 0.131011 | mae: 23.98 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 294s    
step 00309 (2.2%) | loss: 0.130102 | mae: 23.54 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 294s    
step 00310 (2.2%) | loss: 0.125732 | mae: 26.76 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 293s    
step 00311 (2.2%) | loss: 0.125772 | mae: 24.18 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 293s    
step 00312 (2.2%) | loss: 0.123516 | mae: 28.07 | lrm: 1.00 | dt: 21ms | epoch: 2 | remaining: 293s    
step 00313 (2.2%) | loss: 0.124080 | mae: 31.69 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 293s    
step 00314 (2.2%) | loss: 0.126475 | mae: 34.87 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 293s    
step 00315 (2.2%) | loss: 0.126369 | mae: 26.09 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 293s    
step 00316 (2.2%) | loss: 0.126422 | mae: 30.01 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 293s    
step 00317 (2.2%) | loss: 0.123379 | mae: 28.27 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 293s    
step 00318 (2.2%) | loss: 0.121633 | mae: 37.42 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 293s    
step 00319 (2.2%) | loss: 0.124641 | mae: 35.71 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 293s    
step 00320 (2.2%) | loss: 0.122435 | mae: 26.39 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 293s    
step 00321 (2.2%) | loss: 0.120100 | mae: 27.70 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 293s    
step 00322 (2.2%) | loss: 0.122178 | mae: 26.51 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 293s    
step 00323 (2.3%) | loss: 0.121596 | mae: 32.17 | lrm: 1.00 | dt: 23ms | epoch: 3 | remaining: 293s    
step 00324 (2.3%) | loss: 0.120732 | mae: 31.52 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 293s    
step 00325 (2.3%) | loss: 0.117540 | mae: 32.72 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 293s    
step 00326 (2.3%) | loss: 0.119820 | mae: 22.30 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 293s    
step 00327 (2.3%) | loss: 0.118315 | mae: 25.92 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 293s    
step 00328 (2.3%) | loss: 0.117073 | mae: 30.22 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 293s    
step 00329 (2.3%) | loss: 0.114579 | mae: 32.52 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 293s    
step 00330 (2.3%) | loss: 0.114243 | mae: 29.38 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 293s    
step 00331 (2.3%) | loss: 0.115384 | mae: 27.93 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 293s    
step 00332 (2.3%) | loss: 0.117119 | mae: 27.66 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 293s    
step 00333 (2.3%) | loss: 0.120086 | mae: 24.80 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 293s    
step 00334 (2.3%) | loss: 0.123215 | mae: 22.39 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 293s    
step 00335 (2.3%) | loss: 0.122669 | mae: 30.46 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 293s    
step 00336 (2.3%) | loss: 0.123401 | mae: 31.25 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 293s    
step 00337 (2.4%) | loss: 0.123055 | mae: 29.94 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 293s    
step 00338 (2.4%) | loss: 0.127450 | mae: 26.40 | lrm: 1.00 | dt: 21ms | epoch: 3 | remaining: 293s    
step 00339 (2.4%) | loss: 0.129145 | mae: 27.46 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 293s    
step 00340 (2.4%) | loss: 0.128486 | mae: 26.97 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 293s    
step 00341 (2.4%) | loss: 0.128737 | mae: 38.02 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 293s    
step 00342 (2.4%) | loss: 0.125224 | mae: 29.23 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 293s    
step 00343 (2.4%) | loss: 0.124922 | mae: 32.91 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 293s    
step 00344 (2.4%) | loss: 0.120008 | mae: 32.81 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 293s    
step 00345 (2.4%) | loss: 0.122820 | mae: 21.39 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 293s    
step 00346 (2.4%) | loss: 0.123961 | mae: 25.94 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 293s    
step 00347 (2.4%) | loss: 0.122293 | mae: 31.40 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 293s    
step 00348 (2.4%) | loss: 0.120219 | mae: 35.04 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 293s    
step 00349 (2.4%) | loss: 0.118456 | mae: 25.57 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 293s    
step 00350 (2.4%) | loss: 0.117761 | mae: 39.08 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 293s    
step 00351 (2.5%) | loss: 0.117757 | mae: 29.14 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 293s    
step 00352 (2.5%) | loss: 0.115950 | mae: 31.73 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 293s    
step 00353 (2.5%) | loss: 0.116526 | mae: 26.49 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 293s    
step 00354 (2.5%) | loss: 0.114612 | mae: 24.11 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 293s    
step 00355 (2.5%) | loss: 0.116867 | mae: 33.63 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 293s    
step 00356 (2.5%) | loss: 0.118012 | mae: 26.87 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 293s    
step 00357 (2.5%) | loss: 0.115432 | mae: 27.46 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 292s    
step 00358 (2.5%) | loss: 0.118911 | mae: 33.13 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 292s    
step 00359 (2.5%) | loss: 0.122553 | mae: 33.51 | lrm: 1.00 | dt: 21ms | epoch: 3 | remaining: 292s    
step 00360 (2.5%) | loss: 0.124626 | mae: 24.25 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 292s    
step 00361 (2.5%) | loss: 0.123715 | mae: 28.95 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 292s    
step 00362 (2.5%) | loss: 0.126191 | mae: 30.12 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 292s    
step 00363 (2.5%) | loss: 0.127583 | mae: 31.36 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 292s    
step 00364 (2.5%) | loss: 0.129848 | mae: 30.92 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 292s    
step 00365 (2.6%) | loss: 0.125772 | mae: 35.60 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 292s    
step 00366 (2.6%) | loss: 0.123799 | mae: 37.53 | lrm: 1.00 | dt: 21ms | epoch: 3 | remaining: 292s    
step 00367 (2.6%) | loss: 0.120005 | mae: 32.72 | lrm: 1.00 | dt: 21ms | epoch: 3 | remaining: 292s    
step 00368 (2.6%) | loss: 0.121392 | mae: 26.16 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 292s    
step 00369 (2.6%) | loss: 0.122442 | mae: 28.95 | lrm: 1.00 | dt: 21ms | epoch: 3 | remaining: 292s    
step 00370 (2.6%) | loss: 0.124060 | mae: 32.81 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 292s    
step 00371 (2.6%) | loss: 0.123903 | mae: 33.11 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 292s    
step 00372 (2.6%) | loss: 0.123493 | mae: 34.93 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 292s    
step 00373 (2.6%) | loss: 0.126307 | mae: 32.49 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 292s    
step 00374 (2.6%) | loss: 0.126286 | mae: 26.46 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 292s    
step 00375 (2.6%) | loss: 0.125590 | mae: 35.66 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 292s    
step 00376 (2.6%) | loss: 0.129207 | mae: 29.17 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 292s    
step 00377 (2.6%) | loss: 0.129381 | mae: 34.07 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 292s    
step 00378 (2.7%) | loss: 0.129377 | mae: 31.62 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 292s    
step 00379 (2.7%) | loss: 0.125012 | mae: 29.05 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 292s    
step 00380 (2.7%) | loss: 0.122685 | mae: 31.84 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 292s    
step 00381 (2.7%) | loss: 0.119648 | mae: 36.28 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 292s    
step 00382 (2.7%) | loss: 0.120073 | mae: 27.70 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 292s    
step 00383 (2.7%) | loss: 0.122376 | mae: 32.25 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 292s    
step 00384 (2.7%) | loss: 0.119589 | mae: 20.77 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 292s    
step 00385 (2.7%) | loss: 0.115351 | mae: 35.76 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 292s    
step 00386 (2.7%) | loss: 0.119056 | mae: 31.08 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 292s    
step 00387 (2.7%) | loss: 0.118928 | mae: 28.87 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 292s    
step 00388 (2.7%) | loss: 0.119023 | mae: 29.58 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 292s    
step 00389 (2.7%) | loss: 0.118714 | mae: 29.41 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 292s    
step 00390 (2.7%) | loss: 0.117101 | mae: 27.93 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 292s    
step 00391 (2.7%) | loss: 0.115210 | mae: 40.50 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 292s    
step 00392 (2.8%) | loss: 0.117241 | mae: 31.69 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 292s    
step 00393 (2.8%) | loss: 0.118990 | mae: 27.03 | lrm: 1.00 | dt: 21ms | epoch: 3 | remaining: 292s    
step 00394 (2.8%) | loss: 0.121916 | mae: 30.40 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 292s    
step 00395 (2.8%) | loss: 0.121661 | mae: 28.73 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 292s    
step 00396 (2.8%) | loss: 0.124612 | mae: 23.12 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 292s    
step 00397 (2.8%) | loss: 0.123671 | mae: 30.28 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 292s    
step 00398 (2.8%) | loss: 0.123908 | mae: 29.27 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 292s    
step 00399 (2.8%) | loss: 0.122211 | mae: 27.02 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 292s    
step 00400 (2.8%) | loss: 0.117995 | mae: 27.90 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 292s    
step 00401 (2.8%) | loss: 0.117784 | mae: 30.02 | lrm: 1.00 | dt: 22ms | epoch: 3 | remaining: 292s    
