trial	val_mae	memory_gb	status	description
66	5.7833	3.6	ok	batch_size=32 beta1=0.9 dropout=0.1 head_dropout=0.15000000000000002 head_type=mlp learning_rate=0.0007093041717893083 lr_schedule=linear warmup_ratio=0.12 weight_decay=0.03484448920616903
67	5.2498	1.0	ok	batch_size=8 beta1=0.9 dropout=0.0 head_dropout=0.0 head_type=mlp learning_rate=0.0003702716889466304 lr_schedule=linear warmup_ratio=0.08 weight_decay=0.019227910233107635
68	5.9504	7.0	ok	batch_size=64 beta1=0.9 dropout=0.05 head_dropout=0.0 head_type=mlp learning_rate=0.00035623468815709726 lr_schedule=linear warmup_ratio=0.12 weight_decay=0.02385229498342979
69	5.4750	1.3	ok	batch_size=12 beta1=0.9 dropout=0.0 head_dropout=0.05 head_type=mlp learning_rate=0.00046406522866035345 lr_schedule=linear warmup_ratio=0.14 weight_decay=0.020569358182890813
70	8.2499	1.1	ok	batch_size=8 beta1=0.9 dropout=0.3 head_dropout=0.25 head_type=linear learning_rate=0.0008020152096815611 lr_schedule=cosine warmup_ratio=0.1 weight_decay=0.01800031449264858
71	5.2377	1.0	ok	batch_size=8 beta1=0.9 dropout=0.0 head_dropout=0.0 head_type=mlp learning_rate=0.000543109400939324 lr_schedule=linear warmup_ratio=0.08 weight_decay=0.026272006033645677
72	5.1819	1.0	ok	batch_size=8 beta1=0.9 dropout=0.0 head_dropout=0.0 head_type=mlp learning_rate=0.0003834669270545394 lr_schedule=linear warmup_ratio=0.08 weight_decay=0.015737228183411035
73	5.5849	1.0	ok	batch_size=8 beta1=0.9 dropout=0.0 head_dropout=0.0 head_type=mlp learning_rate=0.0004024263372190184 lr_schedule=linear warmup_ratio=0.08 weight_decay=0.01962210730339025
74	5.3812	1.0	ok	batch_size=8 beta1=0.9 dropout=0.0 head_dropout=0.0 head_type=mlp learning_rate=0.0003171072235444712 lr_schedule=linear warmup_ratio=0.08 weight_decay=0.026349095536460414
75	5.7094	1.7	ok	batch_size=16 beta1=0.9 dropout=0.0 head_dropout=0.0 head_type=mlp learning_rate=0.0002647899489728379 lr_schedule=linear warmup_ratio=0.08 weight_decay=0.013880495119227357
76	7.8435	2.8	ok	batch_size=24 beta1=0.9 dropout=0.25 head_dropout=0.05 head_type=mlp learning_rate=0.00036313743685410056 lr_schedule=linear warmup_ratio=0.06 weight_decay=0.042885952153977044
77	5.5622	1.0	ok	batch_size=8 beta1=0.9 dropout=0.0 head_dropout=0.0 head_type=mlp learning_rate=0.0004553569959947835 lr_schedule=linear warmup_ratio=0.08 weight_decay=0.015392750926730933
78	5.5422	1.1	ok	batch_size=8 beta1=0.9 dropout=0.05 head_dropout=0.05 head_type=mlp learning_rate=0.0003804283900949085 lr_schedule=linear warmup_ratio=0.06 weight_decay=0.012661008918342057
79	5.8846	1.3	ok	batch_size=12 beta1=0.95 dropout=0.0 head_dropout=0.0 head_type=linear learning_rate=0.0006960009612300005 lr_schedule=cosine warmup_ratio=0.08 weight_decay=0.023802286577641964
80	5.7551	1.1	ok	batch_size=8 beta1=0.9 dropout=0.05 head_dropout=0.05 head_type=mlp learning_rate=0.0005771308593754326 lr_schedule=linear warmup_ratio=0.1 weight_decay=0.01793841430449545
81	5.3156	1.0	ok	batch_size=8 beta1=0.9 dropout=0.0 head_dropout=0.30000000000000004 head_type=mlp learning_rate=0.0006068595714638647 lr_schedule=linear warmup_ratio=0.08 weight_decay=0.015802515976724982
82	5.0526	1.0	ok	batch_size=8 beta1=0.9 dropout=0.0 head_dropout=0.0 head_type=mlp learning_rate=0.000496023007208244 lr_schedule=linear warmup_ratio=0.06 weight_decay=0.018915002077514634
83	5.2984	1.0	ok	batch_size=8 beta1=0.9 dropout=0.0 head_dropout=0.0 head_type=mlp learning_rate=0.0004983446589922395 lr_schedule=linear warmup_ratio=0.06 weight_decay=0.021179935598463942
84	5.0270	1.0	ok	batch_size=8 beta1=0.9 dropout=0.0 head_dropout=0.0 head_type=mlp learning_rate=0.00042970213726932103 lr_schedule=linear warmup_ratio=0.06 weight_decay=0.0192049946434881
85	5.3836	1.1	ok	batch_size=8 beta1=0.9 dropout=0.05 head_dropout=0.0 head_type=mlp learning_rate=0.0004273959590868485 lr_schedule=linear warmup_ratio=0.06 weight_decay=0.019293220997975598
86	5.5584	1.0	ok	batch_size=8 beta1=0.9 dropout=0.0 head_dropout=0.05 head_type=mlp learning_rate=0.0003020264940307583 lr_schedule=linear warmup_ratio=0.08 weight_decay=0.022706316439251303
